source,type,target,provider,account_id,tech_family
staging.data-engineering.myteksi.net.,NS,"ns-1756.awsdns-27.co.uk.,ns-226.awsdns-28.com.,ns-992.awsdns-60.net.,ns-1125.awsdns-12.org.",AWS,,
test-conn-2.data-engineering.myteksi.net.,A,ac8647d1bbec24ab9953d6a7f6620b12-fb247179582ba0e1.elb.ap-southeast-1.amazonaws.com.,AWS,,
tableauserverprod.data-engineering.myteksi.net.,CNAME,TableauServerProd-alb-839515010.ap-southeast-1.elb.amazonaws.com,AWS,,
baluba.staging.data-engineering.myteksi.net.,A,dualstack.internal-abd0a450da9de11e8a2360a240f0ad8b-1969884059.ap-southeast-1.elb.amazonaws.com.,AWS,,
spark-custom-driver.data-engineering.myteksi.net.,CNAME,spark-nginx.data-engineering.myteksi.net.,AWS,,
ci.staging.data-engineering.myteksi.net.,A,traefik-ingress.staging.data-engineering.myteksi.net.,AWS,,
kafka-rest.staging.data-engineering.myteksi.net.,A,traefik-ingress.staging.data-engineering.myteksi.net.,AWS,,
kdash.staging.data-engineering.myteksi.net.,A,traefik-ingress.staging.data-engineering.myteksi.net.,AWS,,
datagateway-external.staging.data-engineering.myteksi.net.,A,a985e6d67a52a11e89e930286b008bc2-4da230136f2dcb01.elb.ap-southeast-1.amazonaws.com.,AWS,,
traefik-ui.staging.data-engineering.myteksi.net.,A,traefik-ingress.staging.data-engineering.myteksi.net.,AWS,,
prod.data-engineering.myteksi.net.,NS,"ns-584.awsdns-09.net.,ns-91.awsdns-11.com.,ns-1593.awsdns-07.co.uk.,ns-1473.awsdns-56.org.",AWS,,
database.windows.net.,NS,"ns-1536.awsdns-00.co.uk.,ns-0.awsdns-00.com.,ns-1024.awsdns-00.org.,ns-512.awsdns-00.net.",AWS,,
neo4jtest-read.staging.data-engineering.myteksi.net.,A,dualstack.internal-a0fd75dc0867811e9a6a10610d025a14-935332907.ap-southeast-1.elb.amazonaws.com.,AWS,,
privatelink.southeastasia.azmk8s.io.,NS,"ns-1536.awsdns-00.co.uk.,ns-0.awsdns-00.com.,ns-1024.awsdns-00.org.,ns-512.awsdns-00.net.",AWS,,
grabdata.info.,NS,"ns-1536.awsdns-00.co.uk.,ns-0.awsdns-00.com.,ns-1024.awsdns-00.org.,ns-512.awsdns-00.net.",AWS,,
neo4jtest-write.staging.data-engineering.myteksi.net.,A,dualstack.internal-a0fd0b76f867811e9a6a10610d025a14-1074411263.ap-southeast-1.elb.amazonaws.com.,AWS,,
testapp.staging.data-engineering.myteksi.net.,A,ingress.stg-eks-apps-01.staging.data-engineering.myteksi.net.,AWS,,
api-stage.grabdata.info.,A,dualstack.internal-ac7bcbf52e4a411e7b78406a7950efba-1834931716.ap-southeast-1.elb.amazonaws.com.,AWS,,
